Year,State,County,County ANSI,Value
2018,INDIANA,HUNTINGTON,69,183
2018,INDIANA,LAGRANGE,87,142.1
2018,INDIANA,NOBLE,113,170.7
2018,INDIANA,STEUBEN,151,150
2018,INDIANA,WELLS,179,204.1
2018,INDIANA,WHITLEY,183,180.7
2018,INDIANA,BENTON,7,201.7
2018,INDIANA,JASPER,73,164.5
2018,INDIANA,LA PORTE,91,159
2018,INDIANA,NEWTON,111,198.9
2018,INDIANA,OTHER (COMBINED) COUNTIES,,165.3
2018,INDIANA,PORTER,127,182.1
2018,INDIANA,PULASKI,131,169.1
2018,INDIANA,WHITE,181,196.9
2018,INDIANA,HARRISON,61,189.2
2018,INDIANA,JACKSON,71,173.2
2018,INDIANA,LAWRENCE,93,192.1
2018,INDIANA,MONROE,105,181.8
2018,INDIANA,ORANGE,117,206.7
2018,INDIANA,OTHER (COMBINED) COUNTIES,,170.3
2018,INDIANA,WASHINGTON,175,184.1
2018,INDIANA,CLARK,19,178.7
2018,INDIANA,DEARBORN,29,176.7
2018,INDIANA,FRANKLIN,47,185.7
2018,INDIANA,JEFFERSON,77,185
2018,INDIANA,JENNINGS,79,181.6
2018,INDIANA,OHIO,115,180
2018,INDIANA,RIPLEY,137,182.9
2018,INDIANA,SCOTT,143,180.2
2018,INDIANA,SWITZERLAND,155,178
2018,INDIANA,DAVIESS,27,196.2
2018,INDIANA,DUBOIS,37,187.1
2018,INDIANA,GIBSON,51,184
2018,INDIANA,GREENE,55,179.1
2018,INDIANA,KNOX,83,179.4
2018,INDIANA,MARTIN,101,182.9
2018,INDIANA,OTHER (COMBINED) COUNTIES,,177.7
2018,INDIANA,POSEY,129,182.1
2018,INDIANA,SULLIVAN,153,187.3
2018,INDIANA,VANDERBURGH,163,179.6
2018,INDIANA,WARRICK,173,161.2
2018,INDIANA,CLAY,21,181.5
2018,INDIANA,OTHER (COMBINED) COUNTIES,,204.1
2018,INDIANA,OWEN,119,172.7
2018,INDIANA,PARKE,121,192.7
2018,INDIANA,PUTNAM,133,196.8
2018,INDIANA,TIPPECANOE,157,201.1
2018,INDIANA,VERMILLION,165,197.5
2018,INDIANA,VIGO,167,176.4
2018,INDIANA,WARREN,171,206.4
2017,INDIANA,BOONE,11,184.4
2017,INDIANA,CLINTON,23,185.1
2017,INDIANA,DECATUR,31,190.2
2017,INDIANA,GRANT,53,169.6
2017,INDIANA,HAMILTON,57,155.7
2017,INDIANA,HANCOCK,59,158.1
2017,INDIANA,HENDRICKS,63,183.3
2017,INDIANA,HOWARD,67,185.1
2017,INDIANA,JOHNSON,81,175.4
2017,INDIANA,MADISON,95,165.4
2017,INDIANA,MORGAN,109,168.8
2017,INDIANA,OTHER (COMBINED) COUNTIES,,167.2
2017,INDIANA,RUSH,139,185.4
2017,INDIANA,SHELBY,145,178.7
2017,INDIANA,TIPTON,159,172.7
2017,INDIANA,BLACKFORD,9,179.2
2017,INDIANA,DELAWARE,35,155
2017,INDIANA,FAYETTE,41,173
2017,INDIANA,HENRY,65,172.7
2017,INDIANA,JAY,75,159.3
2017,INDIANA,RANDOLPH,135,169.6
2017,INDIANA,UNION,161,181
2017,INDIANA,WAYNE,177,171.9
2017,INDIANA,CARROLL,15,181.5
2017,INDIANA,CASS,17,181.1
2017,INDIANA,ELKHART,39,173.8
2017,INDIANA,FULTON,49,200
2017,INDIANA,KOSCIUSKO,85,171.3
2017,INDIANA,MARSHALL,99,189.2
2017,INDIANA,MIAMI,103,171.1
2017,INDIANA,ST. JOSEPH,141,178
2017,INDIANA,WABASH,169,174.3
2017,INDIANA,ADAMS,1,169.8
2017,INDIANA,ALLEN,3,167.6
2017,INDIANA,DE KALB,33,170
2017,INDIANA,HUNTINGTON,69,167.2
2017,INDIANA,LAGRANGE,87,142.1
2017,INDIANA,NOBLE,113,175.5
2017,INDIANA,STEUBEN,151,160
2017,INDIANA,WELLS,179,185.1
2017,INDIANA,WHITLEY,183,175
2017,INDIANA,BENTON,7,199.2
2017,INDIANA,JASPER,73,183
2017,INDIANA,LA PORTE,91,154.5
2017,INDIANA,LAKE,89,196.9
2017,INDIANA,NEWTON,111,203.9
2017,INDIANA,PORTER,127,186.2
2017,INDIANA,PULASKI,131,186.2
2017,INDIANA,STARKE,149,171.8
